[38.9071923, -77.0368707, 'OFFENSE', 'METHOD', 'BLOCKSITEADDRESS', 'REPORTDATETIME', 'OFFENSE : METHOD', 'BLOCKSITEADDRESS\nREPORTDATETIME'],
[38.8317477, -77.0109751, 'HOMICIDE', 'KNIFE', '1500 - 1599 BLOCK OF 1ST STREET SW', '4/16/2013 12:00:00 AM', 'HOMICIDE : KNIFE', '1500 - 1599 BLOCK OF 1ST STREET SW\n4/16/2013 12:00:00 AM'],
[38.9695493, -77.02662389999999, 'SEX ABUSE', 'KNIFE', '6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW', '6/5/2013 12:00:00 AM', 'SEX ABUSE : KNIFE', '6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW\n6/5/2013 12:00:00 AM'],
[38.9221672, -77.0429487, 'SEX ABUSE', 'OTHERS', '1800 - 1810 BLOCK OF COLUMBIA ROAD NW', '7/8/2013 12:00:00 AM', 'SEX ABUSE', '1800 - 1810 BLOCK OF COLUMBIA ROAD NW\n7/8/2013 12:00:00 AM'],
[38.920451, -77.04022499999999, 'SEX ABUSE', 'OTHERS', '2322 - 2499 BLOCK OF ONTARIO ROAD NW', '4/8/2013 12:00:00 AM', 'SEX ABUSE', '2322 - 2499 BLOCK OF ONTARIO ROAD NW\n4/8/2013 12:00:00 AM'],
[38.8990631, -77.0544369, 'SEX ABUSE', 'OTHERS', '2500 - 2699 BLOCK OF VIRGINIA AVENUE NW', '2/27/2013 12:00:00 AM', 'SEX ABUSE', '2500 - 2699 BLOCK OF VIRGINIA AVENUE NW\n2/27/2013 12:00:00 AM'],
[38.9172894, -76.9788722, 'SEX ABUSE', 'OTHERS', '1800 - 2299 BLOCK OF NEW YORK AVENUE NE', '2/27/2013 12:00:00 AM', 'SEX ABUSE', '1800 - 2299 BLOCK OF NEW YORK AVENUE NE\n2/27/2013 12:00:00 AM'],
[38.8725797, -76.967263, 'SEX ABUSE', 'OTHERS', '2800 - 2821 BLOCK OF PENNSYLVANIA AVENUE SE', '10/10/2013 12:00:00 AM', 'SEX ABUSE', '2800 - 2821 BLOCK OF PENNSYLVANIA AVENUE SE\n10/10/2013 12:00:00 AM'],
[38.8175866, -77.01309959999999, 'SEX ABUSE', 'OTHERS', '1 - 99 BLOCK OF DC VILLAGE LANE SW', '4/9/2013 12:00:00 AM', 'SEX ABUSE', '1 - 99 BLOCK OF DC VILLAGE LANE SW\n4/9/2013 12:00:00 AM'],
[38.9382301, -76.99485349999999, 'HOMICIDE', 'OTHERS', '3000 - 3099 BLOCK OF 7TH STREET NE', '7/31/2013 12:00:00 AM', 'HOMICIDE', '3000 - 3099 BLOCK OF 7TH STREET NE\n7/31/2013 12:00:00 AM'],
[38.8848561, -76.9437118, 'HOMICIDE', 'GUN', '400 - 499 BLOCK OF BURBANK STREET SE', '1/31/2013 12:00:00 AM', 'HOMICIDE : GUN', '400 - 499 BLOCK OF BURBANK STREET SE\n1/31/2013 12:00:00 AM'],
[38.892546, -76.939694, 'SEX ABUSE', 'OTHERS', '116 - 221 BLOCK OF 44TH STREET NE', '7/8/2013 12:00:00 AM', 'SEX ABUSE', '116 - 221 BLOCK OF 44TH STREET NE\n7/8/2013 12:00:00 AM'],
